Node_ID,Centroide,UF
476,FIAP Lins,SP
2744,Guaíba,RS
13462,Anori,AM
15220,Água Santa,RS
15243,Laguna,SC
16266,Araguaína,TO
16267,Formoso do Araguaia,TO
16268,Gurupi,TO
16269,Sucupira,TO
16270,São Valério da Natividade,TO
16271,Aliança do Tocantins,TO
16272,Porto Nacional,TO
16273,Paraíso do Tocantins,TO
16274,Divinópolis do Tocantins,TO
16275,Goianorte,TO
16276,Colméia,TO
16277,Fortaleza do Tabocão,TO
16278,Guaraí,TO
16279,Brasilândia do Tocantins,TO
16280,Colinas do Tocantins,TO
16281,Dianópolis,TO
16282,Recursolândia,TO
16283,Araguaçu,TO
16284,Peixe,TO
16285,Combinado,TO
16286,Palmas,TO
16287,Caracaraí,RR
16288,Iracema,RR
16289,Mucajaí,RR
16290,Amajari,RR
16291,Rorainópolis,RR
16292,São Luiz,RR
16293,São João da Baliza,RR
16294,Caroebe,RR
16295,Cantá,RR
16296,Boa Vista,RR
16297,Bonfim,RR
16298,Normandia,RR
16299,Pacaraima,RR
16300,Pedra Branca do Amaparí,AP
16301,Serra do Navio,AP
16302,Porto Grande,AP
16303,Macapá,AP
16304,Ferreira Gomes,AP
16305,Itaubal,AP
16306,Cutias,AP
16307,Tartarugalzinho,AP
16308,Pracuúba,AP
16309,Amapá,AP
16310,Oiapoque,AP
16311,Calçoene,AP
16312,Assis Brasil,AC
16313,Manoel Urbano,AC
16314,Epitaciolândia,AC
16315,Brasiléia,AC
16316,Xapuri,AC
16317,Capixaba,AC
16318,Sena Madureira,AC
16319,Rio Branco,AC
16320,Senador Guiomard,AC
16321,Bujari,AC
16322,Plácido de Castro,AC
16323,Porto Acre,AC
16324,Boca do Acre,AM
16325,Mâncio Lima,AC
16326,Rodrigues Alves,AC
16327,Cruzeiro do Sul,AC
16328,Guajará,AM
16329,Tarauacá,AC
16330,Feijó,AC
16331,Atalaia do Norte,AM
16332,Benjamin Constant,AM
16333,Tabatinga,AM
16334,Chuí,RS
16335,Barra do Quaraí,RS
16336,Uruguaiana,RS
16337,Quaraí,RS
16338,Alegrete,RS
16339,Sant' Ana do Livramento,RS
16340,Dom Pedrito,RS
16341,Manoel Viana,RS
16342,São Francisco de Assis,RS
16343,Rosário do Sul,RS
16344,Cacequi,RS
16345,Nova Esperança do Sul,RS
16346,São Vicente do Sul,RS
16347,Jaguari,RS
16348,Itaqui,RS
16349,Maçambará,RS
16350,São Borja,RS
16351,Garruchos,RS
16352,Unistalda,RS
16353,Itacurubi,RS
16354,Santo Antônio das Missões,RS
16355,Santiago,RS
16356,Capão do Cipó,RS
16357,Bossoroca,RS
16358,São Luiz Gonzaga,RS
16359,São Miguel das Missões,RS
16360,São Nicolau,RS
16361,Dezesseis de Novembro,RS
16362,Pirapó,RS
16363,Porto Xavier,RS
16364,Roque Gonzales,RS
16365,Rolador,RS
16366,São Pedro do Butiá,RS
16367,Salvador das Missões,RS
16368,São Paulo das Missões,RS
16369,Porto Lucena,RS
16370,Campina das Missões,RS
16371,Cerro Largo,RS
16372,Caibaté,RS
16373,Mato Queimado,RS
16374,Guarani das Missões,RS
16375,Cândido Godói,RS
16376,Ubiretama,RS
16377,Santo Cristo,RS
16378,Senador Salgado Filho,RS
16379,Porto Vera Cruz,RS
16380,Alecrim,RS
16381,Porto Mauá,RS
16382,Foz do Iguaçu,PR
16383,Aceguá,RS
16384,Pedras Altas,RS
16385,Candiota,RS
16386,Santa Vitória do Palmar,RS
16387,Jaguarão,RS
16388,Herval,RS
16389,Arroio Grande,RS
16390,Pinheiro Machado,RS
16392,Cerrito,RS
16393,Capão do Leão,RS
16394,Morro Redondo,RS
16395,Bagé,RS
16396,Hulha Negra,RS
16397,Lavras do Sul,RS
16398,Caçapava do Sul,RS
16399,São Gabriel,RS
16400,Santa Margarida do Sul,RS
16401,Mata,RS
16402,Dilermando de Aguiar,RS
16403,São Pedro do Sul,RS
16404,Toropi,RS
16405,Vila Nova do Sul,RS
16406,São Sepé,RS
16407,Formigueiro,RS
16408,Santa Maria,RS
16409,São Martinho da Serra,RS
16410,Itaara,RS
16411,Silveira Martins,RS
16412,Ivorá,RS
16413,Piratini,RS
